# x target network target_derivative network_derivative target_second_derivative network_second_derivative network_antiderivative
-1 0.353227 0.351974 0.192498 2.3438 -10.18 -45.2931 0
-0.99 0.354636 0.373122 0.0885032 1.88363 -10.615 -46.6004 0.00362932
-0.98 0.354983 0.389617 -0.0197209 1.41459 -11.0255 -47.0698 0.00744692
-0.97 0.354228 0.401412 -0.131918 0.94492 -11.4092 -46.7334 0.011406
-0.96 0.352332 0.408539 -0.247806 0.482437 -11.7634 -45.6429 0.0154596
-0.95 0.34926 0.411109 -0.367079 0.0343485 -12.0858 -43.867 0.0195616
-0.94 0.34498 0.409296 -0.489407 -0.392895 -12.3739 -41.4888 0.0236672
-0.93 0.339463 0.403339 -0.614437 -0.79373 -12.6256 -38.6017 0.0277337
-0.92 0.332684 0.393525 -0.741791 -1.16357 -12.8386 -35.3066 0.0317211
-0.91 0.324621 0.380183 -0.871072 -1.49885 -13.0107 -31.7077 0.0355924
-0.9 0.315257 0.363672 -1.00186 -1.79706 -13.1401 -27.9093 0.0393142
-0.89 0.30458 0.34437 -1.13373 -2.05671 -13.2248 -24.0127 0.0428565
-0.88 0.292581 0.322668 -1.2662 -2.2773 -13.263 -20.1133 0.0461936
-0.87 0.279256 0.298953 -1.39883 -2.45926 -13.2533 -16.2981 0.0493032
-0.86 0.264606 0.273607 -1.5311 -2.6038 -13.1942 -12.6438 0.0521672
-0.85 0.248636 0.246995 -1.66254 -2.71289 -13.0844 -9.21554 0.0547711
-0.84 0.231359 0.219459 -1.79262 -2.78904 -12.9229 -6.06581 0.057104
-0.83 0.21279 0.191314 -1.92082 -2.83527 -12.7088 -3.23432 0.0591583
-0.82 0.192951 0.162843 -2.04662 -2.85488 -12.4415 -0.74803 0.0609292
-0.81 0.171868 0.134293 -2.16947 -2.85143 -12.1206 1.37835 0.0624149
-0.8 0.149573 0.105879 -2.28885 -2.82853 -11.7457 3.14144 0.0636155
-0.79 0.126104 0.0777756 -2.40421 -2.78979 -11.3169 4.54801 0.0645335
-0.78 0.101504 0.0501243 -2.51501 -2.73871 -10.8345 5.61363 0.0651726
-0.77 0.0758208 0.0230316 -2.62072 -2.67858 -10.2988 6.36118 0.0655378
-0.76 0.0491083 -0.00342732 -2.72081 -2.61245 -9.71065 6.81928 0.0656353
-0.75 0.0214251 -0.0292065 -2.81476 -2.54305 -9.07097 7.02074 0.0654716
