# x exact network
-1 0.353227 0.351974
-0.99 0.354636 0.373122
-0.98 0.354983 0.389617
-0.97 0.354228 0.401412
-0.96 0.352332 0.408539
-0.95 0.34926 0.411109
-0.94 0.34498 0.409296
-0.93 0.339463 0.403339
-0.92 0.332684 0.393525
-0.91 0.324621 0.380183
-0.9 0.315257 0.363672
-0.89 0.30458 0.34437
-0.88 0.292581 0.322668
-0.87 0.279256 0.298953
-0.86 0.264606 0.273607
-0.85 0.248636 0.246995
-0.84 0.231359 0.219459
-0.83 0.21279 0.191314
-0.82 0.192951 0.162843
-0.81 0.171868 0.134293
-0.8 0.149573 0.105879
-0.79 0.126104 0.0777756
-0.78 0.101504 0.0501243
-0.77 0.0758208 0.0230316
-0.76 0.0491083 -0.00342732
-0.75 0.0214251 -0.0292065
-0.74 -0.00716481 -0.0542854
-0.73 -0.0365924 -0.0786657
-0.72 -0.0667838 -0.102368
-0.71 -0.0976604 -0.125426
-0.7 -0.129139 -0.147886
-0.69 -0.161132 -0.169802
-0.68 -0.193549 -0.191231
-0.67 -0.226294 -0.212234
-0.66 -0.259268 -0.232869
-0.65 -0.292369 -0.253191
-0.64 -0.325492 -0.273251
-0.63 -0.35853 -0.293091
-0.62 -0.391374 -0.312747
-0.61 -0.423912 -0.332247
-0.6 -0.456032 -0.351607
-0.59 -0.487619 -0.370834
-0.58 -0.518561 -0.389926
-0.57 -0.548741 -0.408869
-0.56 -0.578048 -0.42764
-0.55 -0.606368 -0.446207
-0.54 -0.633588 -0.464527
-0.53 -0.659599 -0.48255
-0.52 -0.684293 -0.500216
-0.51 -0.707565 -0.517459
-0.5 -0.729313 -0.534203
-0.49 -0.749438 -0.550368
-0.48 -0.767846 -0.565868
-0.47 -0.784447 -0.580612
-0.46 -0.799156 -0.594504
-0.45 -0.811892 -0.607444
-0.44 -0.822582 -0.619332
-0.43 -0.831158 -0.630063
-0.42 -0.837558 -0.639532
-0.41 -0.841726 -0.647634
-0.4 -0.843616 -0.654264
-0.39 -0.843186 -0.65932
-0.38 -0.840405 -0.662699
-0.37 -0.835245 -0.664305
-0.36 -0.827692 -0.664042
-0.35 -0.817736 -0.661821
-0.34 -0.805376 -0.657559
-0.33 -0.790621 -0.651179
-0.32 -0.773486 -0.64261
-0.31 -0.753998 -0.631791
-0.3 -0.73219 -0.618668
-0.29 -0.708104 -0.603198
-0.28 -0.68179 -0.585348
-0.27 -0.653308 -0.565095
-0.26 -0.622724 -0.542428
-0.25 -0.590115 -0.517348
-0.24 -0.555561 -0.489868
-0.23 -0.519155 -0.460015
-0.22 -0.480993 -0.427828
-0.21 -0.441181 -0.393358
-0.2 -0.399829 -0.356672
-0.19 -0.357056 -0.317848
-0.18 -0.312983 -0.276979
-0.17 -0.26774 -0.234171
-0.16 -0.22146 -0.189541
-0.15 -0.17428 -0.14322
-0.14 -0.126344 -0.0953512
-0.13 -0.077795 -0.0460881
-0.12 -0.0287821 0.00440442
-0.11 0.0205447 0.0559519
-0.1 0.0700334 0.10837
-0.09 0.119531 0.161468
-0.08 0.168883 0.215047
-0.07 0.217936 0.2689
-0.06 0.266538 0.322819
-0.05 0.314535 0.37659
-0.04 0.361778 0.429997
-0.03 0.40812 0.482822
-0.02 0.453415 0.534849
-0.01 0.497521 0.585862
0 0.540302 0.635649
0.01 0.581625 0.683999
0.02 0.621361 0.730711
0.03 0.659389 0.775587
0.04 0.695593 0.818439
0.05 0.729862 0.859087
0.06 0.762094 0.897361
0.07 0.792193 0.933104
0.08 0.82007 0.966169
0.09 0.845647 0.996423
0.1 0.86885 1.02375
0.11 0.889617 1.04804
0.12 0.907893 1.06921
0.13 0.923631 1.08718
0.14 0.936794 1.10189
0.15 0.947355 1.11332
0.16 0.955295 1.12142
0.17 0.960605 1.1262
0.18 0.963283 1.12766
0.19 0.963338 1.12582
0.2 0.960789 1.12073
0.21 0.955662 1.11245
0.22 0.947993 1.10103
0.23 0.937825 1.08658
0.24 0.92521 1.06919
0.25 0.910209 1.04897
0.26 0.89289 1.02605
0.27 0.873329 1.00055
0.28 0.851608 0.972637
0.29 0.827816 0.942451
0.3 0.80205 0.910159
0.31 0.77441 0.87593
0.32 0.745004 0.839939
0.33 0.713944 0.802365
0.34 0.681346 0.763392
0.35 0.647329 0.723205
0.36 0.61202 0.68199
0.37 0.575543 0.639934
0.38 0.538029 0.597222
0.39 0.499609 0.554038
0.4 0.460415 0.510561
0.41 0.420582 0.466968
0.42 0.380242 0.42343
0.43 0.33953 0.380113
0.44 0.298578 0.337175
0.45 0.25752 0.294768
0.46 0.216484 0.253036
0.47 0.175599 0.212115
0.48 0.134991 0.172131
0.49 0.0947814 0.133203
0.5 0.0550902 0.0954368
0.51 0.0160323 0.0589319
