# x exact network residual
0 0 -1.30849e-06 0.000167481
0.0314159 0.0314108 0.0314094 -0.000478117
0.0628319 0.0627905 0.0627887 -0.000851596
0.0942478 0.0941083 0.0941051 -0.00100921
0.125664 0.125333 0.125328 -0.000999877
0.15708 0.156434 0.156426 -0.00086572
0.188496 0.187381 0.187368 -0.00064262
0.219911 0.218143 0.218126 -0.000360797
0.251327 0.24869 0.248667 -4.53735e-05
0.282743 0.278991 0.278963 0.000283071
0.314159 0.309017 0.308984 0.000607977
0.345575 0.338738 0.338701 0.000916306
0.376991 0.368125 0.368085 0.00119808
0.408407 0.397148 0.397106 0.00144597
0.439823 0.425779 0.425737 0.00165488
0.471239 0.45399 0.453949 0.00182166
0.502655 0.481754 0.481715 0.00194472
0.534071 0.509041 0.509008 0.00202381
0.565487 0.535827 0.5358 0.00205978
0.596903 0.562083 0.562066 0.00205432
0.628319 0.587785 0.587779 0.00200983
0.659734 0.612907 0.612914 0.00192924
0.69115 0.637424 0.637446 0.00181586
0.722566 0.661312 0.66135 0.00167327
0.753982 0.684547 0.684604 0.00150525
0.785398 0.707107 0.707183 0.00131566
0.816814 0.728969 0.729066 0.00110837
0.84823 0.750111 0.75023 0.000887231
0.879646 0.770513 0.770655 0.000656005
0.911062 0.790155 0.79032 0.000418326
0.942478 0.809017 0.809206 0.000177671
0.973894 0.827081 0.827293 -6.26664e-05
1.00531 0.844328 0.844563 -0.000299598
1.03673 0.860742 0.861 -0.000530256
1.06814 0.876307 0.876587 -0.000752006
1.09956 0.891007 0.891307 -0.000962454
1.13097 0.904827 0.905147 -0.00115945
1.16239 0.917755 0.918093 -0.00134111
1.19381 0.929776 0.930132 -0.00150577
1.22522 0.940881 0.941251 -0.00165205
1.25664 0.951057 0.951439 -0.00177878
1.28805 0.960294 0.960687 -0.00188507
1.31947 0.968583 0.968984 -0.00197025
1.35088 0.975917 0.976324 -0.00203386
1.3823 0.982287 0.982698 -0.00207568
1.41372 0.987688 0.9881 -0.00209571
1.44513 0.992115 0.992525 -0.00209413
1.47655 0.995562 0.995969 -0.00207133
1.50796 0.998027 0.998427 -0.00202787
1.53938 0.999507 0.999898 -0.00196448
1.5708 1 1.00038 -0.00188204
1.60221 0.999507 0.999874 -0.00178158
1.63363 0.998027 0.998379 -0.00166426
1.66504 0.995562 0.995897 -0.00153136
1.69646 0.992115 0.99243 -0.00138426
1.72788 0.987688 0.987983 -0.00122442
1.75929 0.982287 0.98256 -0.00105338
1.79071 0.975917 0.976166 -0.000872751
1.82212 0.968583 0.968807 -0.00068419
1.85354 0.960294 0.960492 -0.000489383
1.88496 0.951057 0.951229 -0.000290041
1.91637 0.940881 0.941026 -8.78829e-05
1.94779 0.929776 0.929895 0.000115375
1.9792 0.917755 0.917846 0.000318033
2.01062 0.904827 0.904891 0.000518422
2.04204 0.891007 0.891045 0.000714908
2.07345 0.876307 0.876319 0.000905913
2.10487 0.860742 0.86073 0.00108991
2.13628 0.844328 0.844292 0.00126546
2.1677 0.827081 0.827022 0.00143119
2.19911 0.809017 0.808937 0.00158582
2.23053 0.790155 0.790056 0.00172815
2.26195 0.770513 0.770397 0.00185712
2.29336 0.750111 0.749979 0.00197173
2.32478 0.728969 0.728823 0.00207115
2.35619 0.707107 0.70695 0.00215462
2.38761 0.684547 0.684381 0.00222152
2.41903 0.661312 0.661139 0.00227137
2.45044 0.637424 0.637247 0.00230381
2.48186 0.612907 0.612728 0.0023186
2.51327 0.587785 0.587607 0.00231563
2.54469 0.562083 0.561908 0.00229493
2.57611 0.535827 0.535657 0.00225666
2.60752 0.509041 0.50888 0.00220109
2.63894 0.481754 0.481602 0.00212864
2.67035 0.45399 0.453852 0.00203983
2.70177 0.425779 0.425655 0.0019353
2.73319 0.397148 0.39704 0.00181581
2.7646 0.368125 0.368036 0.00168221
2.79602 0.338738 0.338669 0.00153547
2.82743 0.309017 0.30897 0.00137664
2.85885 0.278991 0.278968 0.00120686
2.89027 0.24869 0.248691 0.00102735
2.92168 0.218143 0.21817 0.000839398
2.9531 0.187381 0.187434 0.000644358
2.98451 0.156434 0.156514 0.000443629
3.01593 0.125333 0.125441 0.000238657
3.04734 0.0941083 0.094243 3.09232e-05
3.07876 0.0627905 0.0629525 -0.00017807
3.11018 0.0314108 0.0315997 -0.000386805
3.14159 1.22465e-16 0.000215392 -0.000593761
3.17301 -0.0314108 -0.0311698 -0.000797423
3.20442 -0.0627905 -0.0625249 -0.000996292
3.23584 -0.0941083 -0.0938194 -0.0011889
3.26726 -0.125333 -0.125022 -0.0013738
3.29867 -0.156434 -0.156103 -0.00154961
3.33009 -0.187381 -0.187032 -0.00171499
3.3615 -0.218143 -0.217778 -0.00186868
3.39292 -0.24869 -0.24831 -0.00200946
3.42434 -0.278991 -0.2786 -0.00213624
3.45575 -0.309017 -0.308616 -0.00224797
3.48717 -0.338738 -0.33833 -0.00234374
3.51858 -0.368125 -0.367713 -0.00242271
3.55 -0.397148 -0.396735 -0.00248416
3.58142 -0.425779 -0.425368 -0.00252751
3.61283 -0.45399 -0.453584 -0.00255226
