# x u_numeric u_exact uprime_numeric uprime_exact
0 1 1 0 -0
0.05 0.99875 0.99875 -0.05 -0.0499792
0.0989886 0.995102 0.995105 -0.0988674 -0.098827
0.147355 0.989156 0.989163 -0.146882 -0.146823
0.195338 0.98097 0.980982 -0.194175 -0.194098
0.243081 0.970581 0.970601 -0.240788 -0.240694
0.290676 0.958022 0.95805 -0.28671 -0.2866
0.338178 0.943321 0.943361 -0.331895 -0.331769
0.385623 0.926513 0.926564 -0.376276 -0.376136
0.433031 0.907633 0.907698 -0.419778 -0.419624
0.480416 0.886723 0.886803 -0.462315 -0.462148
0.527788 0.863828 0.863923 -0.503802 -0.503624
0.575151 0.838997 0.83911 -0.54415 -0.543961
0.622508 0.812287 0.812419 -0.583273 -0.583074
0.669862 0.783756 0.783908 -0.621084 -0.620878
0.717213 0.753468 0.75364 -0.657499 -0.657287
0.764564 0.721491 0.721685 -0.692439 -0.692222
0.811913 0.687895 0.688112 -0.725825 -0.725605
0.859262 0.652757 0.652997 -0.757583 -0.757361
0.90661 0.616155 0.616418 -0.787641 -0.787419
0.953959 0.578171 0.578458 -0.815932 -0.815712
1.00131 0.53889 0.539202 -0.842392 -0.842176
1.04865 0.4984 0.498737 -0.866963 -0.866753
1.096 0.456793 0.457155 -0.88959 -0.889387
1.14335 0.41416 0.414547 -0.910221 -0.910028
1.1907 0.370599 0.371011 -0.92881 -0.928629
1.23805 0.326206 0.326643 -0.945316 -0.945148
1.28539 0.281082 0.281543 -0.959702 -0.959549
1.33274 0.235327 0.235812 -0.971935 -0.971799
1.38009 0.189044 0.189552 -0.981988 -0.981871
1.42744 0.142337 0.142867 -0.989838 -0.989742
1.47479 0.0953107 0.0958625 -0.995468 -0.995395
1.52213 0.0480706 0.0486428 -0.998864 -0.998816
1.56948 0.000722663 0.00131417 -1.00002 -0.999999
1.61683 -0.046627 -0.0460174 -0.998934 -0.998941
1.66418 -0.0938721 -0.0932459 -0.995607 -0.995643
1.71153 -0.140907 -0.140265 -0.990046 -0.990114
1.75887 -0.187625 -0.18697 -0.982265 -0.982366
1.80622 -0.233923 -0.233256 -0.97228 -0.972415
1.85357 -0.279696 -0.279019 -0.960115 -0.960285
1.90092 -0.324842 -0.324157 -0.945795 -0.946003
1.94826 -0.369259 -0.368568 -0.929355 -0.929601
1.99561 -0.412848 -0.412153 -0.910829 -0.911115
2.04296 -0.455511 -0.454814 -0.890261 -0.890586
2.09031 -0.497152 -0.496456 -0.867696 -0.868062
2.13766 -0.537678 -0.536985 -0.843184 -0.843592
2.185 -0.576999 -0.576311 -0.816781 -0.817231
2.23235 -0.615025 -0.614344 -0.788546 -0.789038
2.2797 -0.651671 -0.651001 -0.758542 -0.759077
2.32705 -0.686856 -0.686199 -0.726837 -0.727414
2.37439 -0.7205 -0.719858 -0.693501 -0.694121
2.42174 -0.752528 -0.751904 -0.65861 -0.659272
2.46909 -0.782868 -0.782265 -0.622241 -0.622946
2.51644 -0.811452 -0.810872 -0.584476 -0.585223
2.56378 -0.838216 -0.837662 -0.545401 -0.546189
2.61113 -0.8631 -0.862574 -0.505102 -0.50593
2.65848 -0.886048 -0.885553 -0.46367 -0.464538
2.70583 -0.907009 -0.906547 -0.421198 -0.422104
2.75318 -0.925935 -0.92551 -0.377781 -0.378724
2.80052 -0.942784 -0.942397 -0.333517 -0.334495
2.84787 -0.957518 -0.957173 -0.288505 -0.289517
2.89522 -0.970105 -0.969803 -0.242845 -0.24389
2.94257 -0.980516 -0.980259 -0.196641 -0.197716
2.98991 -0.988727 -0.988519 -0.149995 -0.151099
3.03726 -0.994721 -0.994562 -0.103013 -0.104143
3.08461 -0.998483 -0.998377 -0.0558004 -0.0569535
3.13196 -1.00001 -0.999954 -0.00846218 -0.00963669
3.1793 -0.999286 -0.999289 0.0388951 0.0377017
3.22665 -0.996324 -0.996385 0.0861652 0.0849557
3.274 -0.991128 -0.991247 0.133242 0.132019
3.32135 -0.983708 -0.983888 0.18002 0.178787
3.36869 -0.974082 -0.974323 0.226394 0.225154
3.41604 -0.962271 -0.962575 0.272261 0.271016
3.46339 -0.948301 -0.948669 0.317517 0.31627
3.51074 -0.932205 -0.932637 0.362061 0.360816
3.55808 -0.914017 -0.914514 0.405792 0.404553
3.60543 -0.89378 -0.894342 0.448614 0.447384
3.65278 -0.871537 -0.872165 0.490429 0.489211
3.70013 -0.84734 -0.848034 0.531144 0.529942
3.74747 -0.821241 -0.822001 0.570668 0.569486
3.79482 -0.793301 -0.794126 0.608912 0.607753
3.84217 -0.763582 -0.764472 0.645791 0.644657
3.88951 -0.732149 -0.733104 0.68122 0.680117
3.93686 -0.699075 -0.700092 0.715122 0.714052
3.98421 -0.664432 -0.665512 0.74742 0.746387
4.03156 -0.628299 -0.62944 0.778041 0.777049
4.0789 -0.590756 -0.591957 0.806917 0.80597
4.12625 -0.551889 -0.553147 0.833984 0.833083
4.1736 -0.511783 -0.513098 0.859179 0.85833
4.22095 -0.47053 -0.471898 0.882448 0.881653
4.26829 -0.428221 -0.429641 0.903737 0.903
4.31564 -0.384952 -0.386421 0.922999 0.922322
4.36299 -0.340819 -0.342335 0.940191 0.939578
4.41034 -0.295921 -0.297482 0.955274 0.954728
4.45768 -0.25036 -0.251961 0.968214 0.967737
4.50503 -0.204237 -0.205876 0.978983 0.978578
4.55238 -0.157656 -0.15933 0.987556 0.987225
4.59972 -0.110721 -0.112427 0.993913 0.99366
4.64707 -0.063538 -0.0652711 0.998042 0.997868
4.69442 -0.0162123 -0.0179694 0.999931 0.999839
4.74177 0.0311498 0.0293726 0.999578 0.999569
4.78911 0.0784421 0.0766488 0.996983 0.997058
4.83646 0.125558 0.123753 0.992151 0.992313
4.88381 0.172393 0.17058 0.985094 0.985344
4.93115 0.218841 0.217025 0.975828 0.976166
4.9785 0.264799 0.262983 0.964372 0.9648
5.02585 0.310162 0.308352 0.950754 0.951272
5.0732 0.35483 0.353029 0.935003 0.935612
5.12054 0.398702 0.396916 0.917155 0.917855
5.16789 0.44168 0.439912 0.89725 0.898041
5.21524 0.483667 0.481923 0.875332 0.876213
5.26258 0.524569 0.522854 0.85145 0.852422
5.30993 0.564295 0.562612 0.825659 0.826721
5.35728 0.602755 0.60111 0.798016 0.799166
5.40463 0.639863 0.63826 0.768583 0.76982
5.45197 0.675536 0.67398 0.737426 0.738749
5.49932 0.709694 0.70819 0.704614 0.706022
5.54667 0.74226 0.740811 0.670223 0.671713
5.59401 0.773161 0.771773 0.634328 0.635898
5.64136 0.802328 0.801005 0.59701 0.598658
5.68871 0.829695 0.828441 0.558353 0.560076
5.73605 0.855201 0.854021 0.518444 0.520239
5.7834 0.878789 0.877686 0.477371 0.479236
5.83075 0.900406 0.899385 0.435228 0.437158
5.8781 0.920004 0.919067 0.392109 0.394101
5.92544 0.937538 0.93669 0.34811 0.350161
5.97279 0.952969 0.952213 0.30333 0.305436
6.02014 0.966263 0.965602 0.25787 0.260026
6.06748 0.977389 0.976826 0.211832 0.214033
6.11483 0.986323 0.985862 0.165318 0.167561
6.16218 0.993045 0.992687 0.118433 0.120713
6.20952 0.997539 0.997288 0.0712829 0.0735949
6.25687 0.999796 0.999654 0.0239726 0.0263115
6.30422 0.99981 0.999779 -0.0233915 -0.0210307
6.35156 0.997582 0.997663 -0.0707031 -0.0683259
6.39891 0.993116 0.993311 -0.117856 -0.115468
6.44626 0.986423 0.986733 -0.164745 -0.162351
6.4936 0.977517 0.977943 -0.211264 -0.20887
6.54095 0.966419 0.966962 -0.25731 -0.254921
6.5883 0.953153 0.953813 -0.302778 -0.300401
6.63565 0.937749 0.938526 -0.347568 -0.345208
6.68299 0.920242 0.921136 -0.391578 -0.38924
6.73034 0.90067 0.901682 -0.434709 -0.432401
6.77769 0.879079 0.880206 -0.476866 -0.474592
6.82503 0.855515 0.856758 -0.517953 -0.515719
6.87238 0.830033 0.831389 -0.557878 -0.555691
6.91973 0.802689 0.804157 -0.596552 -0.594417
6.96707 0.773545 0.775123 -0.633888 -0.631811
7.01442 0.742665 0.744351 -0.669803 -0.667789
7.06177 0.71012 0.711911 -0.704214 -0.70227
7.10911 0.675982 0.677875 -0.737047 -0.735177
7.15646 0.640327 0.642321 -0.768226 -0.766436
7.20381 0.603236 0.605326 -0.797683 -0.795978
7.25115 0.564793 0.566975 -0.82535 -0.823735
7.2985 0.525082 0.527353 -0.851166 -0.849646
7.34585 0.484194 0.486549 -0.875073 -0.873653
7.39319 0.442219 0.444655 -0.897017 -0.895702
7.44054 0.399253 0.401764 -0.916949 -0.915743
7.48789 0.355391 0.357973 -0.934824 -0.933732
7.53523 0.310732 0.313379 -0.950603 -0.949628
7.58258 0.265376 0.268083 -0.96425 -0.963396
7.62993 0.219424 0.222186 -0.975734 -0.975004
