# phi u uprime x y
0 1 0 1 0
0.125 1 0 0.992198 0.124675
0.175 1 0 0.984727 0.174108
0.225 1 0 0.974794 0.223106
0.275 1 0 0.962425 0.271547
0.325 1 0 0.947651 0.319309
0.375 1 0 0.930508 0.366273
0.425 1 0 0.911039 0.412321
0.475 1 0 0.889293 0.457338
0.525 1 0 0.865324 0.501213
0.575 1 0 0.839192 0.543835
0.625 1 0 0.810963 0.585097
0.675 1 0 0.780707 0.624897
0.725 1 0 0.748499 0.663135
0.775 1 0 0.714421 0.699716
0.825 1 0 0.678557 0.734548
0.875 1 0 0.640997 0.767544
0.925 1 0 0.601835 0.798621
0.975 1 0 0.561168 0.827702
1.025 1 0 0.519099 0.854714
1.075 1 0 0.475732 0.87959
1.125 1 0 0.431177 0.902268
1.175 1 0 0.385543 0.92269
1.225 1 0 0.338946 0.940806
1.275 1 0 0.291502 0.95657
1.325 1 0 0.243329 0.969944
1.375 1 0 0.194548 0.980893
1.425 1 0 0.14528 0.989391
1.475 1 0 0.0956499 0.995415
1.525 1 0 0.0457803 0.998952
1.575 1 0 -0.00420366 0.999991
1.625 1 0 -0.0541771 0.998531
1.675 1 0 -0.104015 0.994576
1.725 1 0 -0.153593 0.988134
1.775 1 0 -0.202787 0.979223
1.825 1 0 -0.251475 0.967864
1.875 1 0 -0.299534 0.954086
1.925 1 0 -0.346844 0.937923
1.975 1 0 -0.393287 0.919416
2.025 1 0 -0.438747 0.898611
2.075 1 0 -0.48311 0.875559
2.125 1 0 -0.526266 0.85032
2.175 1 0 -0.568107 0.822955
2.225 1 0 -0.608528 0.793533
2.275 1 0 -0.647427 0.762127
2.325 1 0 -0.684709 0.728817
2.375 1 0 -0.720278 0.693685
2.425 1 0 -0.754048 0.656819
2.475 1 0 -0.785933 0.618312
2.525 1 0 -0.815854 0.578259
2.575 1 0 -0.843735 0.53676
2.625 1 0 -0.869507 0.49392
2.675 1 0 -0.893106 0.449846
2.725 1 0 -0.914473 0.404647
2.775 1 0 -0.933554 0.358437
2.825 1 0 -0.950302 0.31133
2.875 1 0 -0.964674 0.263446
2.925 1 0 -0.976635 0.214903
2.975 1 0 -0.986156 0.165823
3.025 1 0 -0.993211 0.116329
3.075 1 0 -0.997784 0.0665434
3.125 1 0 -0.999862 0.0165919
