# z functional_qspline cos(z)
0 1 1
0.05 0.988828 0.99875
0.1 0.977417 0.995004
0.15 0.96577 0.988771
0.2 0.953884 0.980067
0.25 0.941761 0.968912
0.3 0.929401 0.955336
0.35 0.916803 0.939373
0.4 0.903967 0.921061
0.45 0.890894 0.900447
0.5 0.877583 0.877583
0.55 0.862123 0.852525
0.6 0.842604 0.825336
0.65 0.819025 0.796084
0.7 0.791386 0.764842
0.75 0.759688 0.731689
0.8 0.72393 0.696707
0.85 0.684113 0.659983
0.9 0.640236 0.62161
0.95 0.592299 0.581683
1 0.540302 0.540302
1.05 0.486983 0.497571
1.1 0.435078 0.453596
1.15 0.384586 0.408487
1.2 0.335509 0.362358
1.25 0.287845 0.315322
1.3 0.241596 0.267499
1.35 0.19676 0.219007
1.4 0.153339 0.169967
1.45 0.111331 0.120503
1.5 0.0707372 0.0707372
1.55 0.0299703 0.0207948
1.6 -0.012557 -0.0291995
1.65 -0.0568446 -0.0791209
1.7 -0.102893 -0.128844
1.75 -0.150701 -0.178246
1.8 -0.200269 -0.227202
1.85 -0.251598 -0.27559
1.9 -0.304687 -0.32329
1.95 -0.359537 -0.370181
2 -0.416147 -0.416147
2.05 -0.471738 -0.461073
2.1 -0.523531 -0.504846
2.15 -0.571526 -0.547358
2.2 -0.615722 -0.588501
2.25 -0.656121 -0.628174
2.3 -0.692722 -0.666276
2.35 -0.725524 -0.702713
2.4 -0.754529 -0.737394
2.45 -0.779735 -0.770231
2.5 -0.801144 -0.801144
2.55 -0.82059 -0.830054
2.6 -0.839912 -0.856889
2.65 -0.85911 -0.881582
2.7 -0.878182 -0.904072
2.75 -0.897129 -0.924302
2.8 -0.915952 -0.942222
2.85 -0.934649 -0.957787
2.9 -0.953222 -0.970958
2.95 -0.97167 -0.981702
3 -0.989992 -0.989992
3.05 -1.00589 -0.995808
3.1 -1.01707 -0.999135
3.15 -1.02352 -0.999965
3.2 -1.02525 -0.998295
3.25 -1.02226 -0.99413
3.3 -1.01454 -0.98748
3.35 -1.00211 -0.978362
3.4 -0.984946 -0.966798
3.45 -0.963063 -0.952818
3.5 -0.936457 -0.936457
3.55 -0.907558 -0.917755
3.6 -0.878796 -0.896758
3.65 -0.850172 -0.873521
3.7 -0.821684 -0.8481
3.75 -0.793334 -0.820559
3.8 -0.765122 -0.790968
3.85 -0.737046 -0.759399
3.9 -0.709108 -0.725932
3.95 -0.681307 -0.690651
4 -0.653644 -0.653644
4.05 -0.62438 -0.615002
4.1 -0.591778 -0.574824
4.15 -0.555838 -0.533209
4.2 -0.51656 -0.490261
4.25 -0.473944 -0.446087
4.3 -0.42799 -0.400799
4.35 -0.378699 -0.354509
4.4 -0.326069 -0.307333
4.45 -0.270101 -0.259389
4.5 -0.210796 -0.210796
4.55 -0.150974 -0.161676
4.6 -0.0934582 -0.112153
4.65 -0.038248 -0.0623485
4.7 0.0146564 -0.0123887
4.75 0.0652551 0.0376022
4.8 0.113548 0.087499
4.85 0.159535 0.137177
4.9 0.203217 0.186512
4.95 0.244592 0.235381
5 0.283662 0.283662
5.05 0.322038 0.331234
5.1 0.36133 0.377978
5.15 0.401539 0.423777
5.2 0.442664 0.468517
5.25 0.484707 0.512085
5.3 0.527666 0.554374
5.35 0.571542 0.595278
5.4 0.616334 0.634693
5.45 0.662044 0.672522
5.5 0.70867 0.70867
5.55 0.753561 0.743046
5.6 0.794065 0.775566
5.65 0.830182 0.806147
5.7 0.861913 0.834713
5.75 0.889256 0.861192
5.8 0.912213 0.88552
5.85 0.930782 0.907633
5.9 0.944965 0.927478
5.95 0.954761 0.945005
6 0.96017 0.96017
6.05 0.963229 0.972935
6.1 0.965972 0.983268
6.15 0.968401 0.991144
6.2 0.970515 0.996542
6.25 0.972314 0.999449
6.3 0.973798 0.999859
6.35 0.974968 0.997769
6.4 0.975822 0.993185
6.45 0.976362 0.986119
6.5 0.976588 0.976588
6.55 0.974422 0.964616
6.6 0.967789 0.950233
6.65 0.956688 0.933474
6.7 0.941121 0.914383
6.75 0.921086 0.893006
6.8 0.896584 0.869397
6.85 0.867614 0.843616
6.9 0.834178 0.815725
6.95 0.796274 0.785796
7 0.753902 0.753902
7.05 0.709685 0.720124
7.1 0.666244 0.684547
7.15 0.623578 0.647258
7.2 0.581688 0.608351
7.25 0.540573 0.567924
7.3 0.500234 0.526078
7.35 0.460671 0.482916
7.4 0.421884 0.438547
7.45 0.383872 0.393083
7.5 0.346635 0.346635
7.55 0.30855 0.299322
7.6 0.267992 0.25126
7.65 0.224961 0.20257
7.7 0.179457 0.153374
7.75 0.13148 0.103794
7.8 0.0810303 0.0539554
7.85 0.0281072 0.00398162
7.9 -0.0272889 -0.0460021
7.95 -0.0851579 -0.0958709
8 -0.1455 -0.1455
8.05 -0.205486 -0.194765
8.1 -0.262286 -0.243544
8.15 -0.315901 -0.291714
8.2 -0.366331 -0.339155
8.25 -0.413575 -0.385748
8.3 -0.457633 -0.431377
8.35 -0.498506 -0.475928
8.4 -0.536193 -0.519289
8.45 -0.570695 -0.561352
8.5 -0.602012 -0.602012
8.55 -0.631854 -0.641167
8.6 -0.661935 -0.67872
8.65 -0.692252 -0.714576
8.7 -0.722808 -0.748647
8.75 -0.753601 -0.780846
8.8 -0.784632 -0.811093
8.85 -0.8159 -0.839313
8.9 -0.847406 -0.865435
8.95 -0.879149 -0.889394
9 -0.91113 -0.91113
